,Classifier,True Negative,False Positive,False Negative,True Positive,Accuracy,Precision,Recall,F1 Score,ROC
0,DecisionTreeClassifier,112,79,81,170,0.6380090497737556,0.6827309236947792,0.6772908366533864,0.68,0.63183913560418
1,KNeighborsClassifier,87,104,47,204,0.6583710407239819,0.6623376623376623,0.8127490039840638,0.7298747763864043,0.6341231930915083
2,LogisticRegression,94,97,35,216,0.7013574660633484,0.6900958466453674,0.8605577689243028,0.7659574468085106,0.6763521828914708
3,MultinomialNB,0,191,0,251,0.5678733031674208,0.5678733031674208,1.0,0.7243867243867244,0.5
4,RandomForestClassifier,109,82,62,189,0.6742081447963801,0.6974169741697417,0.7529880478087649,0.7241379310344828,0.6618343380405081
5,SVC,84,107,25,226,0.7013574660633484,0.6786786786786787,0.900398406374502,0.7739726027397259,0.6700944911453662
